"cc_iso3c","ref_year","variable","value"
"AFG",2023,"roli_misconduct_sanctioned",0.307701623030974
"AFG",2023,"roli_published_law",0.21090023875253347
"AFG",2023,"roli_right_to_info",0.3790466683813674
"AFG",2023,"roli_complaint_mechanisms",0.36022256987392826
"AFG",2023,"roli_regulations_enforced_effectively",0.32017916718631034
"AFG",2023,"roli_regulations_enforced_properly",0.4173750159927902
"AFG",2023,"roli_process_respected",0.20760659013384464
"ALB",2023,"roli_misconduct_sanctioned",0.36994387528939066
"ALB",2023,"roli_published_law",0.46332191757568075
"ALB",2023,"roli_right_to_info",0.4586648407422887
"ALB",2023,"roli_complaint_mechanisms",0.5305820138158727
"ALB",2023,"roli_regulations_enforced_effectively",0.45384949715118494
"ALB",2023,"roli_regulations_enforced_properly",0.4715254128231491
"ALB",2023,"roli_process_respected",0.27553071321255523
"DZA",2023,"roli_misconduct_sanctioned",0.5301301537673935
"DZA",2023,"roli_published_law",0.23536734652589636
"DZA",2023,"roli_right_to_info",0.33698294799056727
"DZA",2023,"roli_complaint_mechanisms",0.4958593647798822
"DZA",2023,"roli_regulations_enforced_effectively",0.4432235194301504
"DZA",2023,"roli_regulations_enforced_properly",0.5250222941631218
"DZA",2023,"roli_process_respected",0.4188161018625727
"AGO",2023,"roli_misconduct_sanctioned",0.34636271580269784
"AGO",2023,"roli_published_law",0.1689788058718099
"AGO",2023,"roli_right_to_info",0.4284267873972013
"AGO",2023,"roli_complaint_mechanisms",0.5921415582439894
"AGO",2023,"roli_regulations_enforced_effectively",0.4200726077069821
"AGO",2023,"roli_regulations_enforced_properly",0.5012311149815927
"AGO",2023,"roli_process_respected",0.4781463655044872
"ATG",2023,"roli_misconduct_sanctioned",0.42388815855377
"ATG",2023,"roli_published_law",0.29545993821972183
"ATG",2023,"roli_right_to_info",0.5625252173605736
"ATG",2023,"roli_complaint_mechanisms",0.5598664958781996
"ATG",2023,"roli_regulations_enforced_effectively",0.540327011366042
"ATG",2023,"roli_regulations_enforced_properly",0.7846490136496574
"ATG",2023,"roli_process_respected",0.5815461757282095
"ARG",2023,"roli_misconduct_sanctioned",0.3608326925675662
"ARG",2023,"roli_published_law",0.6650643027543663
"ARG",2023,"roli_right_to_info",0.49099312652987404
"ARG",2023,"roli_complaint_mechanisms",0.5844311126295554
"ARG",2023,"roli_regulations_enforced_effectively",0.5044187954560406
"ARG",2023,"roli_regulations_enforced_properly",0.5987570078144944
"ARG",2023,"roli_process_respected",0.46994755923085874
"AUS",2023,"roli_misconduct_sanctioned",0.7523749203245422
"AUS",2023,"roli_published_law",0.8985375121006398
"AUS",2023,"roli_right_to_info",0.6843890915755413
"AUS",2023,"roli_complaint_mechanisms",0.8742632352807267
"AUS",2023,"roli_regulations_enforced_effectively",0.7054278716841939
"AUS",2023,"roli_regulations_enforced_properly",0.9057812286879904
"AUS",2023,"roli_process_respected",0.8638506042052956
"AUT",2023,"roli_misconduct_sanctioned",0.7936333274682847
"AUT",2023,"roli_published_law",0.7063279968756688
"AUT",2023,"roli_right_to_info",0.6061166786022527
"AUT",2023,"roli_complaint_mechanisms",0.6819189087625015
"AUT",2023,"roli_regulations_enforced_effectively",0.8449001734613792
"AUT",2023,"roli_regulations_enforced_properly",0.9145967372854109
"AUT",2023,"roli_process_respected",0.7803977385447904
"BHS",2023,"roli_misconduct_sanctioned",0.4530854967899515
"BHS",2023,"roli_published_law",0.30461851496390885
"BHS",2023,"roli_right_to_info",0.4431753416292821
"BHS",2023,"roli_complaint_mechanisms",0.5414583144408276
"BHS",2023,"roli_regulations_enforced_effectively",0.4041234577440471
"BHS",2023,"roli_regulations_enforced_properly",0.6981248309454059
"BHS",2023,"roli_process_respected",0.5134941202576511
"BGD",2023,"roli_misconduct_sanctioned",0.3394937017411665
"BGD",2023,"roli_published_law",0.342428803398979
