"ind_id","ind_nm","cty_id","cty_nm","cty_iso","date","value","unit","obs_sttus","decimal"
"NY.GDP.MKTP.CD","GDP (current US$)","ZH","Africa Eastern and Southern","AFE","2022",1185137703650.99,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZH","Africa Eastern and Southern","AFE","2021",1086530704900.5,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZH","Africa Eastern and Southern","AFE","2020",928880235176.594,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZH","Africa Eastern and Southern","AFE","2019",1006191000190.48,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZH","Africa Eastern and Southern","AFE","2018",1012521425296.35,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZI","Africa Western and Central","AFW","2022",875393693658.084,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZI","Africa Western and Central","AFW","2021",844927536437.833,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZI","Africa Western and Central","AFW","2020",786962436538.391,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZI","Africa Western and Central","AFW","2019",823405580187.913,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","ZI","Africa Western and Central","AFW","2018",768158194632.397,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World","ARB","2022",3543339785308.86,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World","ARB","2021",2930480380710.72,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World","ARB","2020",2535508549316.27,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World","ARB","2019",2871654771820.86,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World","ARB","2018",2845898419157.25,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states","CSS","2022",94867024971.9129,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states","CSS","2021",76123490342.5381,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states","CSS","2020",65860096129.8181,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states","CSS","2019",77253744414.7289,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states","CSS","2018",76540797383.5589,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics","CEB","2022",1944198197077.57,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics","CEB","2021",1908002281033.51,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics","CEB","2020",1665327992740.77,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics","CEB","2019",1674210532695.96,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics","CEB","2018",1648634467771.53,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend","EAR","2022",14148420366435.9,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend","EAR","2021",12716982787439,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend","EAR","2020",10941489484842.7,"","",0
"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend","EAR","2019",11743140069350.9,"","",0
